"id","category","difficulty","user_input","response","reference","retrieved_contexts","retrieved_urls","retrieved_content_types","faithfulness","context_recall","context_precision","semantic_similarity","context_entity_recall","answer_relevancy","bert_f1","bert_precision","bert_recall","RR_at5","hit_at5","latency","prompt_tokens","completion_tokens","total_tokens","reranking_tokens","context_count","response_time_seconds"
"24","Master-Studium","easy","Wann beginnen die angebotenen Masterprogramme?","Die angebotenen Masterprogramme an der Universität zu Köln beginnen jeweils zum Wintersemester. Die Bewerbung erfolgt online über KLIPS, und die Bewerbungsfristen variieren je nach Studiengang. Es ist ratsam, sich auf den Seiten des Masterbewerbungsverfahrens umfassend zu informieren.  Wenn Sie spezifische Fragen zu einem bestimmten Masterprogramm haben, zögern Sie bitte nicht, mich zu kontaktieren. Ich bin hier, um Ihnen weiterzuhelfen!","Die angebotenen Masterprogramme starten zum Wintersemester. Die Bewerbung erfolgt bis Mitte des Jahres.","['n der Universität zu Köln in Kraft. 2Sie gilt erstmals für die Zulassung zum Wintersemester 2025/2026. 3Gleichzeitig tritt die Ordnung über die Zulassung zu dem Masterstudiengang Gesundheitsökonomie der Wirtschafts- und Sozialwissenschaftlichen Fakultät sowie der Medizinischen Fakultät der Universität zu Köln vom 7. März 2024 (Amtliche Mitteilungen 16/2024) außer Kraft. Ausgefertigt aufgrund der Beschlüsse der Engeren Fakultät der Wirtschafts- und Sozialwissenschaftlichen Fakultät vom 18.11.2024 und der Engeren Fakultät der Medizinischen Fakultät vom 20.11.2024 sowie nach Prüfung der Rechtmäßigkeit durch das Rektorat vom 10.12.2024. Köln, den 22.01.2025 Der Dekan der Wirtschafts- und Sozialwissenschaftlichen Fakultät der Universität zu Köln gez. Universitätsprofessor Ulrich Thonemann, PhD Der Dekan der Medizinischen Fakultät der Universität zu Köln gez. Universitätsprofessor Dr. Gereon R. Fink', 'üssen vor dem Start des Studiums das einsemestrige Programm ""Studienstart International"" verpflichtend durchlaufen.\n\n##### Master\n\nMasterstudiengänge starten zum 1. Fachsemester an der Wiso-Fakultät nur zum Wintersemester. Die Bewerbung erfolgt online über KLIPS. Die Bewerbungsfristen variieren hinsichtlich der Studiengänge. Genauere Informationen zum Bewerbungsverfahren sowie einzureichende Unterlagen entnehmen Sie bitte unseren Seite zum Masterbewerbungsverfahren.\n\n## 2. Welche (grundständigen) Bachelorstudiengänge können an der WiSo-Fakultät studiert werden?\n\nAn der Wiso-Fakultät der Universität zu Köln können momentan sieben Bachelorstudiengänge studiert werden:\n\n- Betriebswirtschaftslehre\n- Volkswirtschaftslehre\n- Management, Economics and Social Sciences\n- Sozialwissenschaften\n- Gesundheitsökonomie\n- Wirtschaftsinformatik\n- Lehramt Berufskolleg\n\nAlle diese Bachelorstudiengänge (außer Lehramt BK) sind Bachelor of Science-Studiengänge und sogenannte 1-Fach-Bachelor. D.h. Sie können nicht mit anderen Studiengängen der Uni Köln kombiniert werden. Neben den Fachstudiengängen bieten wir außerdem das Bachelor of Arts-Programm ""Lehramt Berufskolleg"" an. Hier studieren Sie das Unterrichtsfach ""Wirtschaftswissenschaften"" in Kombination mit einem anderen Unterrichtsfach, welches nicht an der WiSo-Fakultät angesiedelt ist.\nNur die Bachelorstudiengänge Betriebs- und Volkswirtschaftslehre werden zum Winter- und Sommersemester angeboten, alle übrigen Bachelorstudiengänge starten nur z', 'Master of Science\n\n# Master Business Administration\n\nSie studieren bereits M. Sc. Business Administration und möchten sich über Einzelheiten Ihres Master-Studiums informieren? Dann geht es auf den Seiten zum Studienaufbau weiter.\xa0\n\nAuf dieser Seite Sie alle Informationen zum Masterstudiengang Business Administration - von einem kurzen Überblick der wählbaren Spezialisierungen bis hin zu den Zugangsvoraussetzungen und dem Auswahlverfahren.\xa0\n\nDer Master in Business Administration an der Universität zu Köln bietet Ihnen ein hochspezialisiertes Programm und starke forschungs- und praxisorientierte Lehrinhalte. Die abschließende Masterarbeit kann deshalb sowohl an Forschung als auch Praxis orientieren und richtet sich so ganz nach Ihren individuellen Wünschen.\n\n## Überblick\n\nAbschluss: Master of Science\n\nDauer 4 Semester, Vollzeit\n\nBeginn: jährlich zum Wintersemester\n\nCredits: 120 ECTS\n\nSprache:\n\n- Spezialisierungen Corporate Development, Finance, Marketing, Supply Chain Management: nur Englisch\n- Spezialisierung Accounting & Taxation: Deutsch und Englisch\n\nGebühren:\nNur Semesterbeitrag (ca. 300€ pro Semester inklusive Ticket für den öffentlichen Nahverkehr, siehe hier für weitere Informationen)\n\nInhalt: Erlernen und Anwenden von Methoden und Techniken moderner Datenanalyse, künstlicher Intelligenz und maschinellem Lernen, um Probleme der Betriebs- und Wirtschaftswissenschaften lösen zu können.\n\nBewerbungsfrist: 15.06. (bitte beachten Sie die abweichenden Fristen für das Double Ma', 'stieg ein Masterabschluss erforderlich. Dies gilt insbesondere für die Tätigkeit an einer Universität oder in einer anderen Forschungseinrichtung. An das Bachelorstudium kann an der Universität zu Köln ein Masterstudiengang angeschlossen werden, so zum Beispiel der M.Sc. Economics und der M.Sc. Economic Research oder auch – bei entsprechender Studienrichtung und geeigneter Kurswahl im Bachelorstudium – ein M.A. Politikwissenschaft, ein M.Sc. Sociology oder ein M.Sc. Business Administration. Nach Abschluss des Masters eröffnet sich Ihnen auch die Perspektive einer Promotion, welche die Voraussetzung für eine wissenschaftliche Karriere ist.\n\nzum Seitenanfang\n\n### Weltweites Alumni-Karriere-Netzwerk\n\nMit Ihrer Einschreibung in den Studiengang sind Sie bereits Teil eines großen Netzwerks aktueller und ehemaliger Studierender, unseren Alumni. Dadurch erhalten Sie exklusiven Zugang zur Praxis und Geschäftswelt während und nach Ihrem Studium. Veranstaltungsreihen und spezielle Coachingprogramme stellen den Kontakt zu privaten und öffentlichen Institutionen sowie weiteren potenziellen Arbeitgeber:innen her.\n\n> Sowohl der Bachelor- als auch der Masterstudiengang an der WiSo-Fakultät der Universität zu Köln ermöglichten mir ein breites Verständnis der ökonomischen Theorie und Praxis. Am Studium an der Universität zu Köln begeisterte mich, dass nach den Grundlagenkursen vielfältige Wahlmöglichkeiten geboten wurden. Hierdurch konnte ich mein Studium primär auf meine Präferenzen - die Fin', 'en Ansatz geboten werden und nehmen Sie am Studium zweier bekannter Universitäten teil: Der Universität zu Köln und der Universität Maastricht.\n- Studieren Sie an jeder Universität für ein Jahr und schließen Sie mit zwei Masterabschlüssen ab: Verbringen Sie Ihr erstes Jahr in Maastricht und das zweite Jahr in Köln.\n\nSie weitere Informationen zum Doppelmasterprogramm in European Studies online.\n\n## Karrieremöglichkeiten\n\nUnser Masterstudiengang öffnet Ihnen viele Türen, um Ihre professionelle Karriere in vielen Bereichen der Politik zu beginnen, einschließlich:\n\n- Politikberatung\n- Verwaltungslehre\n- Internationale Organisationen\n- Institutionen der Europäischen Union\n- Politische Parteien\n- Interessenverbände\n- Data Science Firmen\n- Private Medienunternehmen\n\n> Ich habe es wirklich sehr genossen, dass Studierenden des Studiengangs Political Science ein hoher Grad Wahlfreiheit gegeben wird. So konnten wir uns auf unsere Interessengebiete selbst spezialisieren.\n\nDenjenigen, die im akademischen Bereich bleiben wollen, bietet die WiSo-Fakultät ein PhD Programm über die Cologne Graduate School an. Das Institut für Politische Wissenschaft kooperiert außerdem auch eng mit der Max Planck International Research School on the Social and Political Constitution of the Economy.\n\nFrühere Alumni haben an PhD Programmen an bekannten Universitäten teilgenommen, wie zum Beispiel der London School of Economics and Political Sciences oder dem European University Institute in Florenz. Einige sind']","['file://D:/Uni-Köln/Masterarbeit/Software/uzk-masterarbeit/data/pdf_cache/__wiso.uni-koeln.de_sites_fakultaet_dokumente_downloads_master_Zulassungsordnungen_ZO_Gesundheitsoekonomie.pdf', 'https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/allgemeine-fragen', 'https://wiso.uni-koeln.de/de/studium/master/master-business-administration', 'https://wiso.uni-koeln.de/de/studium/bachelor/bachelor-vwl', 'https://wiso.uni-koeln.de/de/studium/master/master-political-science']","['pdf', 'html', 'html', 'html', 'html']","0.6666666666666666","1.0","0.9999999999666667","0.7445921696777902","0.0","0.0","0.41269055008888245","0.12065188586711884","0.735480010509491","0.0","0.0","10.27135181427002","2181","147","2328","13322","5","10.27135181427002"
"78","Allgemein","medium","Wie schneiden die Kölner BWL-Professor:innen im WirtschaftsWoche-BWL-Forschungsranking 2024 in der Kategorie „Top-Forscher in der BWL“ ab?","Die Kölner BWL-Professor:innen schneiden im WirtschaftsWoche-BWL-Forschungsranking 2024 in der Kategorie „Top-Forscher in der BWL“ wie folgt ab:  * Prof. Dr. Anna Burmeister erreicht Platz 69 unter den ""Jungstars der BWL"" * Prof. Dirk Sliwka ist unter den Top 100 * Prof. Werner Reinartz, Prof. Wolfgang Ketter und Prof. Christoph Rosenkranz sind ebenfalls unter den Top 100 * Prof. Detlef Schoder, Prof. Franziska Völckner, Prof. Alexander Kempf, Prof. Marc Fischer und Prof. Bernd Irlenbusch sind unter den Top 200  Die Universität zu Köln belegt im Ranking der besten BWL-Fakultäten 2024 der Wirtschaftswoche den vierten Platz in der DACH-Region und den zweiten Platz in Deutschland.","Im WirtschaftsWoche-BWL-Forschungsranking 2024 zur Kategorie „Die Top-Forscher in der BWL aus Deutschland, Österreich und der Schweiz“ belegt WiSo-Professor Wolfgang Ketter Platz 13. Außerdem sind mit Dirk Sliwka auf Rang 73 und Ulrich Thonemann auf Rang 81 zwei weitere Kölner BWL-Professoren unter den Top 100 vertreten.","['# WiSo-Wissenschaftler:innen glänzen im BWL-Forschungsranking\n\n13.12.2024\n\nDas aktuelle BWL-Forschungsranking der Wirtschaftswoche sieht WiSo-Wissenschaftler:innen hervorragend platziert.\n\nEinen herzlichen Glückwunsch an Prof. Dr. Anna Burmeister, die im aktuellen BWL-Forschungsranking der WirtschaftsWoche unter den „Jungstars der BWL“ einen herausragenden Platz 69 erreicht hat. Anne Burmeister, Professorin für Organisational Behaviour, setzt damit die traditionell guten Platzierungen junger Forscher:innen der Wirtschafts- und Sozialwissenschaftlichen Fakultät der Universität zu Köln im wichtigsten BWL-Forschungsranking im deutschsprachigen Raum fort.\n\nDoch nicht nur in der Kategorie der forschungsstärksten Ökonom:innen unter 40 Jahren erzielen WiSo-Wissenschaftler:innen 2024 erneut eindrucksvolle Ergebnisse. Unter den aktuell forschungsstärksten Ökonom:innen aus Deutschland, Österreich und der Schweiz (im Fünfjahreszeitraum 2020 bis 2024) vertreten mit Prof. Dr. Wolfgang Ketter (Platz 13), Prof. Dr. Dirk Sliwka (Rang 73) und Prof. Dr. Ulrich Thonemann, PhD (81) gleich drei Mitglieder die WiSo-Fakultät. Im alle zwei Jahre erscheinenden Ranking verzeichnet besonders Professor Ketter einen beeindruckenden Aufstieg. Der Leiter des Instituts „Information Systems for Sustainable Society“ ist nun schon beinahe in den Top Ten platziert.\n\n„Wer sind die forschungsstärksten Betriebswirt:innen im deutschsprachigen Raum?“ lautet die Leitfrage im BWL-Forschungsranking der WirtschaftsWoche', 'atz. Außerdem sind Prof. Dirk Sliwka, Prof. Werner Reinartz, Prof. Wolgang Ketter\xa0und Prof. Christoph Rosenkranz unter den Top 100. Unter den Top 200 be sich Prof. Detlef Schoder, Prof. Franziska\xa0Völckner,\xa0Prof. Alexander Kempf,\xa0Prof. Marc Fischer\xa0und\xa0Prof. Bernd Irlenbusch.\n\nIm Ranking der besten BWL-Fakultäten 2024 der Wirtschaftswoche belegt die Universität zu Köln den vierten Platz in der DACH Region und den zweiten Platz in Deutschland.\xa0\n\n\xa0\n\nHI\n\nzum Seitenanfang', '# BWL-Forschungsranking\n\nDie Ranglisten des BWL-Forschungsrankings der WirtschaftsWoche erfassen die Publikationen von Betriebswirt:innen, die in Deutschland, Österreich und der Schweiz an Lehrstühlen, Fraunhofer- und Max-Planck-Instituten arbeiten (inklusive Post-Docs und Juniorprofessuren).\n\nDas Ranking der aktuellen Forschungsleistung umfasst die Publikationen im Fünfjahreszeitraum 2020 bis einschließlich 2024. Die Lebenswerkwertung berücksichtigt alle jemals publizierten Artikel der gelisteten Forscher:innen, das Ranking der Jung-BWLer:innen alle Publikationen von Forscher:innenn, die am Stichtag noch keine 40 Jahre alt waren.\nDas Ranking erscheint alle zwei Jahre, bei gerader Jahreszahl.\xa0Stichtag ist der 1. August 2024.\n\nIm Ranking \xa0""Die Top-Forscher in der BWL aus Deutschland, Österreich und der Schweiz 2024"" belegt\nWiSo-Prof. Wolfgang Ketter Platz 13. Außerdem sind Prof. Dirk Sliwka (Platz 73) und\xa0Prof. Ulrich Thonemann (Platz 81) unter den Top 100 vertreten.\n\nIm Ranking ""Die forschungsstärksten Betriebswirte unter 40 Jahre 2024"" ist Frau Prof. Anne Burmeister (Platz 69)\xa0unter den Top 75 aufgeführt.\n\nIm ""Goßen Lebenswerk-Ranking 2024"" belegt Prof. Ulrich Thonemann\xa0den 35. Platz. Außerdem sind Prof. Dirk Sliwka, Prof. Werner Reinartz, Prof. Wolgang Ketter\xa0und Prof. Christoph Rosenkranz unter den Top 100. Unter den Top 200 be sich Prof. Detlef Schoder, Prof. Franziska\xa0Völckner,\xa0Prof. Alexander Kempf,\xa0Prof. Marc Fischer\xa0und\xa0Prof. Bernd Irlenbusch.\n\nIm Ranking der besten B', 'place. In addition, Prof. Dirk Sliwka, Prof. Werner Reinartz,\xa0Prof. Wolfgang Ketter,\xa0and Prof. Christoph Rosenkranz are among the top 100. Prof. Detlef Schoder, Prof. Franziska\xa0Völckner,\xa0Prof. Alexander Kempf,\xa0Prof. Marc Fischer\xa0and\xa0Prof. Bernd Irlenbusch\xa0are among the top 200.\n\nIn the WirtschaftsWoche Faculty Ranking 2024 the University of Cologne is ranked 4th place in the German speaking countries\xa0Germany, Austria and Switzerland and 2nd\xa0place in Germany.\n\nHI\n\nTo top of page', '# WiSo-Forscher rückt in die „Big Five“\n\n22.08.2025\n\nZwei Kölner Forscher:innen im HR-Ranking.\n\nGleich zwei Forscher:innen der Wirtschafts- und Sozialwissenschaftlichen Fakultät der Universität zu Köln sind in der Liste der „Top 40 führenden HR-Köpfe 2025“ aufgeführt. Mit der Auswahl würdigt das Personalmagazin Persönlichkeiten, die mit fundierter Forschung und innovativen Impulsen Entwicklungen im Bereich Human Resources mitgestalten. Die Auswahl wird alle zwei Jahre aktualisiert.\n\nDirk Sliwka erneut unter den „Big Five“\n\nProf. Dr. Dirk Sliwka, Inhaber des Lehrstuhls für Personalwirtschaftslehre an der WiSo-Fakultät und Mitglied des Exzellenzclusters ECONtribute: Märkte und Public Policy, ist erneut in das Ranking aufgenommen worden. Mit seiner wiederholten Platzierung zählt er zur Sonderkategorie der „Big Five“, in die Personen aufgenommen werden, die mindestens fünfmal in der Liste vertreten waren.\nSliwka forscht zur Wirkung von Anreizsystemen in Unternehmen und nutzt dabei Feldstudien in enger Zusammenarbeit mit der Praxis. Er zählt zu den meistzitierten Wissenschaftlern in den Bereichen Personal und Management.\n\nAnne Burmeister in der Kategorie Wissenschaft gelistet\n\nAuch Prof. Dr. Anne Burmeister, seit 2023 Professorin für Organisational Behaviour an der WiSo-Fakultät, ist in der Kategorie Wissenschaft vertreten.\nDie Organisationspsychologin forscht mit ihrem Team zu den Themen Diversität und Inklusion sowie Interaktionen und Beziehungen am Arbeitsplatz. Sie nutzt Felde']","['https://wiso.uni-koeln.de/de/aktuelles-und-neuigkeiten/news-einzelansicht/wiso-wissenschaftlerinnen-glaenzen-im-bwl-forschungsranking', 'https://wiso.uni-koeln.de/de/services/rankings/bwl-forschungsranking', 'https://wiso.uni-koeln.de/de/services/rankings/bwl-forschungsranking', 'https://wiso.uni-koeln.de/en/services/rankings/business-administration-researcher-ranking', 'https://wiso.uni-koeln.de/de/aktuelles-und-neuigkeiten/news-einzelansicht/wiso-forscherinnen-ruecken-in-die-big-five']","['html', 'html', 'html', 'html', 'html']","1.0","1.0","0.999999999975","0.7823812406894297","0.0","0.8883416402351689","0.3582775592803955","0.23514649271965027","0.48406994342803955","0.5","1.0","13.234051942825317","2340","254","2594","13573","5","13.234051942825317"
"83","Studiengang spezifisch","hard","Welche Karrierechancen habe ich mit dem Master Information Systems – in welche Jobs kann ich später gehen?","Basierend auf den Suchergebnissen können wir sagen, dass der Master in Information Systems eine breite Palette an Karrierechancen bietet. Einige mögliche Jobs, die du später anstreben kannst, sind:  * IS-Projektmanagement und Systemtechnik * Datenanalyse und Datenwissenschaft * Digitale Transformation und Innovation * Green IS, Smart Energy und Nachhaltigkeit * Trainee-Programme * Beratung * Akademische Forschung * Start-ups und Unternehmen  Es ist wichtig zu beachten, dass diese Liste nicht erschöpfend ist und du während deines Studiums auch andere Karriereziele erreichen kannst. Es lohnt sich, die Informationen auf der Universitäts-Website genauer zu studieren, um mehr über die möglichen Karrierewege zu erfahren.","Absolvent:innen des Master Information Systems qualifizieren sich für vielseitige Positionen an der Schnittstelle von IT und Wirtschaft. Mögliche Tätigkeitsfelder umfassen IS-Projektmanagement, Systemtechnik, Datenanalyse, Data Science, digitale Transformation, Innovation, Green IS, Smart Energy und Nachhaltigkeit sowie Beratung und akademische Forschung. Der Studiengang bietet eine solide Grundlage für eine Karriere in Start-ups, Unternehmen und Trainee-Programmen. Viele Absolvent:innen spezialisieren sich auch in Bereichen wie Data Science oder gründen eigene Unternehmen. Zudem wird der Master als hervorragende Vorbereitung für eine Promotion oder weiterführende Programme an internationalen Universitäten angesehen.","['ld of exciting research tasks already in the context of teaching, for example, in the areas of social (media) network analysis or sustainability.\n\nThe Master\'s programme ""Information Systems"", run by CIIS, offers an interdisciplinary programme with three focal areas adressing current societal changes: Business Analytics and Data Science, Digital Innovation and Entrepreneurship and Digital Sustainable Society. In addition to excellent career prospects, it provides students with practical and theoretical tools to face current social challenges in business, society or research.\n\nWe congratulate on the again outstanding ranking!\n\n- Ranking summary (WiSo Faculty)\n- To the ranking (Association for Information Systems) [Log-In required. Setting: ""Journals: AIS8, Years: Las 5 Years, Region: Europe, Africa, Middle East]\n- Cologne Institute for Information Systems (CIIS)\n- Master Information Systems of the Wiso Faculty\n\nBack\n\n#### WiSo Faculty social media channels\n\n[ follow us! ]\n\nHI\n\nTo top of page', 'Master of Science\n\n# Master Information Systems\n\nDoppelqualifikation in Betriebswirtschaftslehre und Informatik\n\n## Inhaltsverzeichnis\n\n- Überblick\n- Ihre Vorteile auf einen Blick\n- Für wen ist das Programm geeignet?\n- Programmübersicht\n- Akademische Exzellenz mit internationalem Angebot\n- Karrieremöglichkeiten\n- Bewerbung\n- Weitere Informationen und Kontakt\n\nWenn Sie bereits den Masterstudiengang Information Systems absolvieren und sich über spezifische Details informieren möchten, besuchen Sie bitte die Seite zum Studienaufbau.\n\n## Überblick\n\nAbschluss: Master of Science\n\nDauer 4 Semester, Vollzeit\n\nCredits: 120 ECTS\n\nSprache: Englisch und Deutsch (in ausgewählten Kursen)\n\nInhalt: Interdisziplinäre Disziplin der Betriebswirtschaftslehre und Informatik, die sich mit der Konzeption, Entwicklung und Anwendung von Informationssystemen in Wirtschaft, Verwaltung und zunehmend auch im privaten Bereich beschäftigt.\n\nInternational: Auslandssemester, Summer School (optional)\n\nBewerbungsfrist: 15.06.\n\n## Master-Virtueller Infotag\n\nBitte HIER ANMELDEN, um am virtuellen Master-Infotag teilzunehmen. Nutzen Sie die Gelegenheit, mehr über die WiSo-Fakultät zu erfahren, die Studienprogramme zu erkunden und wertvolle Einblicke von Professor:innen, aktuellen Studierenden und Alumni zu gewinnen.\n\n## Ihre Vorteile auf einen Blick:\n\n- theoretische und methodische Grundlagen für die Auseinandersetzung mit zentralen Themen wie Data Science, digitale Transformation und Innovation, Prozesse und Gesc', ""Master of Science\n\n# Master Information Systems\n\nDouble Qualification in Business Studies and Computer Science\n\n## Table of Content\n\n- Key Facts\n- Why this programme stands out\n- Who should apply?\n- Programme Overview\n- Academic excellence meets international scope\n- Career Opportunities\n- Application\n- Detailed information and contact\n\nIf you’re already studying Information Systems and would like to find out more about specific details of your master’s programme, you’ll find what you’re looking for on the programme structure page.\n\n## Key Facts\n\nDegree: Master of Science\n\nDuration: 4 semesters, full-time\n\nCredits: 120 ECTS\n\nLanguage: English and German (in selected Courses)\n\nContent: Interdisciplinary discipline of business studies and computer science, which deals with the conception, development, and application of information systems in business, administration and increasingly in our private lives.\n\nInternational: Semester Abroad, summer school (optional)\n\nApplication deadline: 15th June\n\n## Master's Virtual Open Day\n\nPlease REGISTER HERE to join the Master’s Virtual Open Day. Take this opportunity to learn more about the WiSo Faculty, explore the study programmes and gain valuable insights from professors, current students and Alumni.\n\n## Why this programme stands out:\n\n- theoretical and methodological basis for dealing with key issues such as data science, digital transformation and innovation, processes and business models as well as solutions for a sustainable societ"", 'd meines Studiums konnte ich sehen, wie Elemente wie Kursarbeit, Forschung und Wirkung zusammenarbeiteten, um meine persönliche Entwicklung zu lenken und die Gesamterfahrung der Studierenden zu verbessern.\n\n### Exemplarische Jobmöglichkeiten\n\nIS-Projektmanagement und Systemtechnik\n\n- Datenanalyse und Datenwissenschaft\n- Digitale Transformation und Innovation\n- Green IS, Smart Energy und Nachhaltigkeit\n- Trainee-Programme\n- Beratung\n- Akademische Forschung\n- Start-ups und Unternehmen\n\nEinige unserer Absolvent:innen spezialisieren sich weiter, beispielsweise um als Datenanalysten, Datenwissenschaftler:innen oder Unternehmer:innen zu arbeiten. Unsere führenden Partner:innen in der Industrie, von großen Versicherungsunternehmen bis hin zu mittelständischen Software-Entwicklungsunternehmen, schätzen unsere Absolvent:innen, da sie überall einsatzbereit sind. Sie sind auch an Start-ups beteiligt, wenn Sie also ein eigenes Unternehmen gründen wollen, können Sie mit der Unterstützung der Hochschule rechnen.\n\nFür alle, die nach ihrem Masterstudium an wissenschaftlicher Forschung interessiert sind, bieten das CIIS und die Cologne Graduate School (CGS) Studierenden mit konkurrenzfähigen Masterergebnissen die Möglichkeit für ein Promotions-Aufbaustudium (Ph.D.).\n\nGleichzeitig ist der Master in Information Systems natürlich eine hervorragende Basis für die Bewerbung auf Graduiertenstudiengänge an anderen nationalen und internationalen Universitäten.\n\n\xa0\n\n##### .\n\n## Bewerbung\n\n\xa0\n\nAlle Infos', 'rprüfung ................................ ................................ .............. 21 § 21 Inkrafttreten und Veröffentlichung ................................ ................................ .......... 22 § 22 Auslaufbestimmungen ................................ ................................ ............................. 22 ÜBERSICHT ÜBER DIE ANHÄNGE ................................ ................................ ................................ ........................... 23 --- Page 4 --- Prüfungsordnung für den Masterstudiengang Information Systems in der Fassung vom 01.10.201 8 Seite 4 von 36 I. ALLGEMEINE BESTIMMUNGEN FÜR DEN MASTERSTUDIENGANG § 1 Studienziel und Akademischer Grad (1) 1Information Systems befasst sich mit der Konzeption, Entwicklung, Einführung, Wartung und Nutzung v on Systemen der computergestützten Informationsverarbeitung. 2Der Masterstudiengang Information Systems bereitet auf eine künftige spezifische Tätigkeit als Expertin beziehungsweise Experte, Beraterin beziehungsweise Berater und Führungskraft in Wirtschaft und Verwaltung vor. 3Im Studien gang bestehen vie lfältige Möglichkeiten der stärker betriebswirtschaftlichen oder stärker informationstechnischen Schwerpunktsetzung. 4Damit sollen Studierenden Flexibilität und Vielfalt bei der Ausrichtung und Gestaltung v on individuellen Kompetenzprofilen gewährt werden. 5Zu weiteren beruflichen Perspektiven zählen auch Tätigkeiten in Forschung und akademischer Lehre. 6Studierende erwerben d']","['https://wiso.uni-koeln.de/en/news/news-faculty/top-ranking-for-the-cologne-institute-for-information-systems', 'https://wiso.uni-koeln.de/de/studium/master/master-information-systems', 'https://wiso.uni-koeln.de/en/studies/master/master-information-systems', 'https://wiso.uni-koeln.de/de/studium/master/master-information-systems', 'file://D:/Uni-Köln/Masterarbeit/Software/uzk-masterarbeit/data/pdf_cache/__wiso.uni-koeln.de_sites_fakultaet_dokumente_PA_po_po_m_information_systems.pdf']","['html', 'html', 'html', 'html', 'pdf']","1.0","1.0","0.99999999998","0.9039940651979723","0.631578947036011","0.0","0.3093506693840027","0.30514058470726013","0.310495525598526","0.5","1.0","10.931115865707397","2058","209","2267","11888","5","10.931115865707397"
"META","Evaluation Metadaten","2026-01-27 20:27:15","Chatbot: llama3.1:8b (ctx=dynamisch, temp=0.0, seed=42)","RAGAS-LLM: qwen2.5:7b (ctx=14500, temp=0.0, seed=42)","Testset: 3 Fragen","Eval-Zeit: 54.94s","Antwort-Zeit gesamt: 34.44s","","","","","","","","","","","","","","","","","","",""
"AVG","GESAMT","n=3","","","","","","","0.8888888888888888","1.0","0.9999999999738889","0.8103224918550641","0.21052631567867033","0.2961138800783896","0.36010623","0.220313","0.51001513","0.3333333333333333","0.6666666666666666","11.478839874267578","2193.0","203.33333333333334","2396.3333333333335","12927.666666666666","","11.478839874267578"
"AVG","Allgemein","n=1","","","","","","","1.0","1.0","0.999999999975","0.7823812406894297","0.0","0.8883416402351689","0.35827756","0.2351465","0.48406994","0.5","1.0","13.234051942825317","2340.0","254.0","2594.0","13573.0","","13.234051942825317"
"AVG","Master-Studium","n=1","","","","","","","0.6666666666666666","1.0","0.9999999999666667","0.7445921696777902","0.0","0.0","0.41269055","0.120651886","0.73548","0.0","0.0","10.27135181427002","2181.0","147.0","2328.0","13322.0","","10.27135181427002"
"AVG","Studiengang spezifisch","n=1","","","","","","","1.0","1.0","0.99999999998","0.9039940651979723","0.631578947036011","0.0","0.30935067","0.30514058","0.31049553","0.5","1.0","10.931115865707397","2058.0","209.0","2267.0","11888.0","","10.931115865707397"
"AVG","Schwierigkeit: EASY","n=1","","","","","","","0.6666666666666666","1.0","0.9999999999666667","0.7445921696777902","0.0","0.0","0.41269055","0.120651886","0.73548","0.0","0.0","10.27135181427002","2181.0","147.0","2328.0","13322.0","","10.27135181427002"
"AVG","Schwierigkeit: MEDIUM","n=1","","","","","","","1.0","1.0","0.999999999975","0.7823812406894297","0.0","0.8883416402351689","0.35827756","0.2351465","0.48406994","0.5","1.0","13.234051942825317","2340.0","254.0","2594.0","13573.0","","13.234051942825317"
