id;question;expected_answer;context_hint;category;difficulty;Reference_Chunks
1;Inwiefern würde ich als Student von einem Studium an der WiSo-Fakultät profitieren?;Als Student profitierst du von einem theorie- und methodenorientierten Studienansatz, in dem Forschung und Lehre eng mit der Praxis verzahnt sind, sowie von der ausgeprägten Praxisnähe durch die langjährige Zusammenarbeit der WiSo-Fakultät mit Unternehmen und Lehrbeauftragten aus verschiedenen Berufsfeldern.;https://wiso.uni-koeln.de/de/studium/bewerbung/studium-an-der-wiso-fakultaet;Allgemein;medium;"„Unsere Studierenden profitieren in unseren Bachelor- und Masterstudiengängen vom theorie- und methodenorientierten Ansatz, der sowohl Forschung als auch Lehre mit der Praxis vereint.“ 
 / „Die Nähe zur Praxis zeigt sich in der Lehre durch unsere langjährige Erfahrung in der Zusammenarbeit mit Unternehmen und Lehrbeauftragten aus verschiedenen Berufsfeldern.“ "
2;Welche Kosten fallen für reguläre Studienprogramme der WiSo-Fakultät an?;Für die regulären Studienprogramme fällt nur der halbjährliche Semesterbeitrag an, der bereits das Semesterticket für den öffentlichen Nahverkehr in ganz Nordrhein-Westfalen umfasst.;https://wiso.uni-koeln.de/de/studium/bewerbung/studium-an-der-wiso-fakultaet;Allgemein;easy;Als staatlich finanzierte Hochschule beschränken sich bei unseren regulären Studienprogrammen die Studienkosten auf den halbjährlichen Semesterbeitrag, der bereits das Semesterticket für den öffentlichen Nahverkehr in ganz Nordrhein-Westfalen beinhaltet
3;Wie wird die Qualität der WiSo-Absolvent:innen in Rankings und durch Arbeitgebereinschätzungen beschrieben?;Die Qualität der WiSo-Absolvent:innen wird dadurch hervorgehoben, dass mehrere DAX40-Vorstände an der Universität zu Köln studiert haben, sie laut dem aktuellen Ranking des Wirtschaftsmagazins „Wirtschaftswoche“ bei der Einstellung durch Personaler bevorzugt werden und die Fakultät im „Careers Rank“ des Financial Times Masters in Management Ranking eine deutschlandweite Spitzenposition einnimmt.;https://wiso.uni-koeln.de/de/studium/bewerbung/studium-an-der-wiso-fakultaet;Allgemein;medium;Mehrere DAX40-Vorstände studierten an der Universität zu Köln, soviele wie von keiner ansderen Universität. Dies unterstreicht die Fach- und Führungskompetenzen unserer Absolventen. Laut aktuellem Ranking des Wirtschaftsmagazins „Wirtschaftswoche“ werden unsere Absolventen bei der Einstellung durch Personaler bevorzugt. Eine deutschlandweite Spitzenposition halten wir derzeit in der Rubrik „Careers Rank“ des Financial Times Masters in Management Ranking. Hierbei wird betrachtet, wie viele der Absolventen drei Jahre nach Studienabschluss Führungspositionen verantworten und wie groß das jeweilige Unternehmen ist
4;Wie ist die internationale Ausrichtung der WiSo-Fakultät beschrieben?;Die WiSo-Fakultät ist einziges deutsches Mitglied im CEMS-Netzwerk und bietet gemeinsam mit Partnern den Master in International Management (CEMS MIM) an. Viele Studienprogramme enthalten einen hohen Anteil englischsprachiger Module und nahezu alle Masterprogramme können vollständig auf Englisch studiert werden. Zudem bestehen Partnerschaften mit über 130 Hochschulen für Auslandssemester.;https://wiso.uni-koeln.de/de/studium/bewerbung/studium-an-der-wiso-fakultaet;Allgemein;medium;„Als einziges deutsches Mitglied sind wir Teil des CEMS (The Global Alliance In Management Education)-Netzwerk und bieten in Zusammenarbeit mit anderen Mitgliedern den Master in International Management (CEMS MIM) an.“ / „Alle unsere Studienprogramme weisen einen hohen Anteil englischsprachiger Module auf. Außerdem sind nahezu alle unsere Masterprogramme komplett in englischer Sprache studierbar.“ / „Interkulturelle Kompetenzen werden im internationalen Umfeld am Campus und in einem Auslandssemester an einer der über 130 Partnerhochschulen vermittelt.“
5;Welches Ziel verfolgen die Lehrinnovationen an der WiSo-Fakultät?;Mit den Lehrinnovationen möchte die WiSo-Fakultät ihre Lehre weiterentwickeln, indem sie neue Formen und Ansätze im Unterricht ausprobiert, um die Qualität der Lehrveranstaltungen zu steigern. Die Projekte können dabei inhaltlich sehr unterschiedlich sein, solange sie einen klaren Bezug zur Lehre haben.;https://wiso.uni-koeln.de/de/studium/lehrinnovationen;Allgemein;easy;Für eine Verbesserung der Lehre entwickelt die WiSo-Fakultät innovative Ideen und Lehrkonzepte, die neue Wege beschreiten und die Lehrqualität verbessern. Dabei sind der Vielfältigkeit der Ideen – bis auf den erforderlichen Bezug zur Lehre – bewusst keine Grenzen gesetzt. Eine Auswahl der aktuellen Projekte finden Sie im Folgenden beschrieben.
6;Worum geht es beim Lehrprojekt E-PLUS?;Beim Lehrprojekt E-PLUS entwickeln Studierende während des Semesters eigene Übungsaufgaben und Lösungsvorschläge zum Vorlesungsstoff, bewerten diese gegenseitig in einem Peer-Review-Verfahren über die E-Learning-Plattform ILIAS und erhalten individuelles Feedback. Dadurch entsteht ein individualisierter, aktiver Lernprozess mit einem großen Aufgabenpool, der sie beim Üben und beim Vertiefen der Inhalte unterstützt und so den Lernerfolg verbessert.;https://wiso.uni-koeln.de/de/studium/lehrinnovationen;Allgemein;medium;Angelehnt an das Konzept des Crowdsourcing konzipieren Studierende als Lernende im laufenden Semester Aufgaben und Lösungen zum Vorlesungsmaterial und bewerten und korrigieren die Aufgaben und Lösungen gegenseitig (Peer Reviewing). Die Studierenden werden somit aktiv in die Lehrveranstaltung eingebunden und erzielen durch die regelmäßige Auseinandersetzung mit den Lerninhalten in dieser Form eine Verbesserung des Lernerfolgs. Die Organisation erfolgt über ILIAS: Sowohl die Bereitstellung der Aufgaben, die gegenseitige Bewertung, als auch die Klärung offener Fragen in einem eigens dafür eingerichteten Wiki erfolgen über die E-Learning-Plattform
7;Wie wird E-PLUS organisiert?;E-PLUS wird vollständig über die E-Learning-Plattform ILIAS organisiert. Dort werden die von den Studierenden erstellten Aufgaben bereitgestellt, im Peer-Review-Verfahren gegenseitig bewertet und offene Fragen in einem eigenen Wiki geklärt.;https://wiso.uni-koeln.de/de/studium/lehrinnovationen;Allgemein;medium;Die Organisation erfolgt über ILIAS: Sowohl die Bereitstellung der Aufgaben, die gegenseitige Bewertung, als auch die Klärung offener Fragen in einem eigens dafür eingerichteten Wiki erfolgen über die E-Learning-Plattform.
8;Welchen Vorteil bietet das Projekt E-PLUS?;Das E-Assessment-Konzept von E-PLUS bietet den Vorteil, dass durch die von den Studierenden selbst eingebrachten, individuellen Aufgaben ein breit gefächerter Aufgabenpool entsteht, aus dem viele verschieden aufgebaute E-Probe-Klausuren zum intensiven Üben generiert werden können. Die Studierenden erhalten zu ihren Bearbeitungen direktes Feedback, können ihren Lernstand dadurch gezielt reflektieren und anpassen und Lehrende erkennen typische Schwachstellen, die sie in der Präsenzveranstaltung noch einmal aufgreifen. Gleichzeitig werden die eigentlichen Klausuren als individualisierte E-Prüfungen angeboten, die zeitlich sehr flexibel abgelegt werden können, sodass sich die Klausurtermine entzerren und der Prüfungsbetrieb organisatorisch wie administrativ entlastet wird.;https://wiso.uni-koeln.de/de/studium/lehrinnovationen;Allgemein;hard;"Durch das Einbringen eigener – individueller – Aufgaben der einzelnen Studierenden, resultiert ein breit gefächerter Aufgabenpool, der eine Vielzahl unterschiedlich aufgebauter – individueller – E-Probe-Klausuren zum ausgiebigen Üben hervorbringt. Die Inhalte können somit umso mehr verinnerlicht werden, da die Studierenden zu jeder Übung ein direktes Feedback erhalten und dadurch ihren Lernstand reflektieren und anpassen können. Zudem hat der/die Dozent/in die Möglichkeit, bei der Auswertung der eingereichten Aufgaben und der Lösungen der Probe-Klausuren Schwachstellen zu identifizieren, die dann im Rahmen der Präsenzveranstaltung erneut aufgegriffen und erklärt werden können.  / 
Die Klausuren werden als individualisierte E-Prüfungen angeboten, die von den Studierenden theoretisch jederzeit abgelegt werden können. Dieses trägt unter anderem zur Entzerrung der Klausurtermine bei und entlastet sowohl den operativen als auch administrativen Prüfungsbetrieb."
9;Welche Art von Dokumenten finden Studierende allgemein bezüglich Modulhandbücher und Prüfungsordnungen?;Hierfür gibt es zentrale Dokumente zur Orientierung und Organisation des Studiums. Diese umfassen Modulhandbücher der aktuellen Prüfungsordnung PO 2021 für alle Bachelor- und Masterprogramme sowie Verweise auf die zugehörigen Prüfungsordnungen und ein Modulhandbuch-Archiv für frühere Jahrgänge.;https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen;Modulhandbuch/PO;easy;"Hier finden Sie die gültigen Modulhandbücher und Prüfungsordnungen des aktuell laufenden Studienjahres der Prüfungsordnung (PO) 2021. Im Modulhandbuch-Archiv finden Sie darüberhinaus die Modulhandbücher vergangener Studienjahre. / Bachelor PO 2021
Master PO 2021
Modulhandbuch-Archiv"
10;Für welche Studierendengruppe gelten die Dokumente im Rahmen der Bachelor PO 2021?;Die Dokumente sind gültig für Studierende der Prüfungsordnung 2021, die sich ab dem Wintersemester 2021/22 in einen entsprechenden Bachelorstudiengang eingeschrieben haben.;https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen/bachelor-po-2021;Modulhandbuch/PO;easy;Hier finden Sie alle wichtigen Dokumente, die Sie zur Orientierung und für die Organisation Ihres Studiums benötigen. Gültig für Studierende der Prüfungsordnung 2021 (Einschreibung ab WiSe 2021/22)
11;Welche Bachelorstudiengänge der WiSo-Fakultät haben ein eigenes Modulhandbuch unter PO 2021?;Für das Studienjahr 2025/26 gibt es unter der Bachelor PO 2021 Modulhandbücher für Betriebswirtschaftslehre, Volkswirtschaftslehre, Management, Economics and Social Sciences, Sozialwissenschaften, Gesundheitsökonomie, Wirtschaftsinformatik sowie Lehramt am Berufskolleg I.;https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen/bachelor-po-2021;Modulhandbuch/PO;medium;"""Nachfolgend finden Sie für jeden Bachelorstudiengang das Modulhandbuch der Prüfungsordnung PO 2021 gültig ab dem 01.10.2025.

Betriebswirtschaftslehre
Volkswirtschaftslehre
Management, Economics and Social Sciences
Sozialwissenschaften
Gesundheitsökonomie
Wirtschaftsinformatik
Lehramt am Berufskolleg I"""
12;Wo finden Bachelorstudierende die zugehörigen Prüfungsordnungen der PO 2021?;Im Download-Bereich des Prüfungsamtes finden Sie die gemeinsame Prüfungsordnung der WiSo-Studiengänge, sowie die zusätzliche Bachelorprüfungsordnung.;https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen/bachelor-po-2021;Modulhandbuch/PO;easy;"""Prüfungsordnungen PO 2021
Im Download-Bereich des Prüfungsamtes finden Sie die gemeinsame Prüfungsordnung der WiSo-Studiengänge, sowie die zusätzliche Bachelorprüfungsordnung."""
13;Für wen gelten die Dokumente zur Master-Prüfungsordnung (PO) 2021?;Die Dokumente zur Master PO 2021 gelten für Studierende, die nach der Prüfungsordnung 2021 studieren und sich ab dem Wintersemester 2021/22 eingeschrieben haben.;https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen/master-po-2021;Modulhandbuch/PO;easy;"Master PO 2021
Hier finden Sie alle wichtigen Dokumente, die Sie zur Orientierung und für die Organisation Ihres Studiums benötigen.

Gültig für Studierende der Prüfungsordnung 2021 (Einschreibung ab WiSe 2021/22).

Im Modulhandbuch-Archiv finden Sie die Modulhandbücher vergangener Studienjahre."
14;Für welche Masterstudiengänge werden im Rahmen der Master Prüfungsordnung PO 2021 Modulhandbücher bereitgestellt?;"Für das Studienjahr 2025/26 werden unter der Master PO 2021 Modulhandbücher für folgende Masterstudiengänge aufgeführt: M.Sc. International Management (CEMS MIM); M.Sc. Business Administration (Accounting and Taxation, Corporate Development, Finance, Marketing, Supply Chain Management); M.Sc. Business Analytics and Econometrics; M.Sc. Economics; M.Sc. Economic Research; M.Sc. Gesundheitsökonomie; M.Sc. Information Systems; M.A./M.Sc. Politikwissenschaft/Political Science; die beiden Soziologie-Master (Sociology: Social and Economic Psychology sowie Sociology and Social Research) sowie M.Ed./M.Sc. Wirtschaftspädagogik.";https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen/master-po-2021;Modulhandbuch/PO;medium;"Master Modulhandbücher | gültig vom 01.10.2025-30.09.2026
Nachfolgend finden Sie für jeden Masterstudiengang das Modulhandbuch der Prüfungsordnung PO 2021 gültig ab dem 01.10.2025.

M.Sc. International Management (CEMS MIM)
M.Sc. Business Administration - Accounting and Taxation
M.Sc. Business Administration - Corporate Development
M.Sc. Business Administration - Finance
M.Sc. Business Administration - Marketing
M.Sc. Business Administration - Supply Chain Management
M.Sc. Business Analytics and Econometrics
M.Sc. Economics
M.Sc. Economic Research
M.Sc. Gesundheitsökonomie
M.Sc. Information Systems
M.A. / M.Sc. Politikwissenschaft / Political Science
M.Sc. Sociology: Social and Economic Psychology
M.Sc. Sociology and Social Research
M.Ed. / M.Sc. Wirtschaftspädagogik"
15;Wo finden Masterstudierende die Masterprüfungsordnung für die WiSo-Studiengänge?;Die Prüfungsordnungen zur Master PO 2021 findest du im Download-Bereich des Prüfungsamts. Dort sind sowohl die gemeinsame Prüfungsordnung der WiSo-Studiengänge als auch die zusätzliche Masterprüfungsordnung hinterlegt.;https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen/master-po-2021;Modulhandbuch/PO;easy;"Prüfungsordnungen PO 2021
Im Download-Bereich des Prüfungsamtes finden Sie die gemeinsame Prüfungsordnung der WiSo-Studiengänge, sowie die zusätzliche Masterprüfungsordnung."
16;Welche Möglichkeiten schafft mir ein Bachelorabschlusses an der WiSo-Fakultät?;Ein Bachelorabschluss an der WiSo-Fakultät schafft eine exzellente Grundlage für den individuellen Karriereweg – unabhängig davon, ob man direkt in den Beruf einsteigt, ein Trainee-Programm wählt oder einen weiterführenden Master anschließt.;https://wiso.uni-koeln.de/de/studium/bachelor;Bachelor-Studium;easy;"Bachelorstudiengänge
Schaffen Sie sich eine exzellente Basis für Ihre weitere Karriere!

Ein wirtschafts- oder sozialwissenschaftlicher Bachelor-Abschluss ebnet Ihnen Ihren individuellen Karriereweg – egal, ob Sie direkt nach dem Bachelor in den Beruf einsteigen, ein Trainee-Programm absolvieren oder Sie sich für einen weiterführenden Masterstudiengang entscheiden. Finden Sie den Bachelor-Studiengang, der zu Ihnen passt und studieren Sie an einer top-gerankten Universität in einer pulsierenden Stadt"
17;Welche Bachelorstudiengänge bietet WiSo-Fakultät allgemein an?;Die WiSo-Fakultät bietet folgende Bachelorprogramme an: Betriebswirtschaftslehre, Volkswirtschaftslehre, Sozialwissenschaften, Management, Economics & Social Sciences, Wirtschaftsinformatik, Gesundheitsökonomie sowie der Lehramts-Bachelor.;https://wiso.uni-koeln.de/de/studium/bachelor;Bachelor-Studium;easy;"Unsere Bachelorstudiengänge im Überblick
Wir bieten Ihnen eine breite Auswahl an Bachelorprogrammen in den Wirtschafts- und Sozialwissenschaften, die interdisziplinät miteinander verknüpft sind:

BWL Bachelor
VWL Bachelor
Bachelor Sozialwissenschaften
Bachelor Management, Economics & Social Sciences
Bachelor Wirtschaftsinformatik
Bachelor Gesundheitsökonomie
Lehramt Bachelor
Studium Integrale"
