"id","category","difficulty","user_input","response","reference","retrieved_contexts","retrieved_urls","retrieved_content_types","faithfulness","context_recall","context_precision","semantic_similarity","context_entity_recall","answer_relevancy","bert_f1","bert_precision","bert_recall","RR_at5","hit_at5","latency","prompt_tokens","completion_tokens","total_tokens","reranking_tokens","context_count","response_time_seconds"
"11","Modulhandbuch/PO","medium","Welche Bachelorstudiengänge der WiSo-Fakultät haben ein eigenes Modulhandbuch unter PO 2021?","Die Bachelorstudiengänge der WiSo-Fakultät, die ein eigenes Modulhandbuch unter PO 2021 haben, sind:  * B.Sc. Sozialwissenschaften (Schwerpunkt Soziologie und Sozialpsychologie) * B.Sc. Betriebswirtschaftslehre  Diese Informationen stammen aus dem Modulhandbuch-Archiv der WiSo-Fakultät auf der Universitäts-Website.","Für das Studienjahr 2025/26 gibt es unter der Bachelor PO 2021 Modulhandbücher für Betriebswirtschaftslehre, Volkswirtschaftslehre, Management, Economics and Social Sciences, Sozialwissenschaften, Gesundheitsökonomie, Wirtschaftsinformatik sowie Lehramt am Berufskolleg I.","['Insofern stellen nachfolgende Studienverlaufsempfehlungen nur ein Muster dar, von welchem je nach eigener Studienplanung abgewichen werden kann und muss. --- Page 11 --- Gültig für Studierende der PO 2021 (Einschreibung ab WiSe 2021/22) MODULHANDBUCH - SOZIALWISSENSCHAFTEN - BACHELOR OF SCIENCE 7 B.Sc. Sozialwissenschaften (Schwerpunkt Soziologie und Sozialpsychologie –Start WiSe )1. Semester 3. Semester 2. Semester 5. Semester BachelorarbeitLP 30 30 30 30 P 1319BMSOW1 30LPBasismodul Einführung in die Mikrosoziologie 6 LP P 1320BBEMI1Basismodul Sozialstrukturanalyse 6 LP P 1320BBSST1Basismodul Einführung in die Psychologie 6 LP P 1320BBWPS1Basismodul Vergleichende Analyse politischer Institutionen 6 LP P 1335BBVAI1Basismodul Methoden empirischer Sozialforschung 6 LP P 1320BBMES1 Basismodul Grundlagen sozialwissenschaftlichen Arbeitens 6 LP P 1320BBGSA1 Basismodul Internationale Beziehungen 6 LP P 1335BBIBE1Basismodul Einführung in die Makrosoziologie 6 LP P 1320BBEMA1 Basismodul Statistik (SoWi ): Sozialwissenschaftliche Datenauswertung 6 LP P 1320BBSSD1Basismodul Europäische Politik 6 LP P 1335BBEPO1Basismodul Vergleichende politische Ökonomie 6 LP P 1335BBVAO1 Aufbaumodul Statistik ( SoWi ) 12 LP P 1320BASTA1Schwerpunktmodul Seminar Bildung/ Arbeit / Organisation 6 LP P 1320BSBAO1Schwerpunktmodul Seminar Kultur/ Werte / Zusammenhalt 6 LP P 1320BSKWZ1 Basis/ Aufbau Schwerpunkt Ergänzung Bereiche4.', 'Die Fachschaft WiSo ist die Interessensvertretung aller Studierenden der WiSo -Fakultät. Ne- ben Beratungen von Studierenden für Studierende bietet sie außerdem vielfältige Services rund um das Studium an. Weitere Informationen finden sich unter wiso-buero.uni -koeln.de . --- Page 23 --- Gültig für Studierende der PO 2021 (Einschreibung ab WiSe 2021/22) MODULHANDBUCH – BETRIEBSWIRTSCHAFTSLEHRE – BACHELOR OF SCIENCE 23 3 Modultabellen und Modulbeschreibungen 3.1 Basis - und Aufbaubereich Im Basis - und Aufbaubereich muss der /die Geprüfte gemäß § 29 Absatz 1 Nr. 1 Prüfungsordnung 108 LP erwerben. Gruppe Modul LP P/WP Soll LP BWL BM Accounting I 6 P 90 BM Accounting II 6 P BM Corporate Development I 6 P BM Finance I 6 P BM Marketing I 6 P BM Supply Chain Management I 6 P BM Unternehmens - und Wirtschaftsethik 6 P BM Grundlagen der Wirtschaftsinformatik 6 P BM Mikroökonomik (BWL) 9 P BM Makroökonomik (BWL) 9 P BM Mathematik 6 P BM Bürgerliches Recht und Wirtschaftsrecht 6 P BM Statistik 6 P AM Statistik und Ökonometrie 6 P BWL Wahlmodule BM Corporate Development II 6 WP 18 BM Finance II 6 WP BM Marketing II 6 WP BM Supply Chain Management II 6 WP --- Page 24 --- Gültig für Studierende der PO 2021 (Einschreibung ab WiSe 2021/22) MODULHANDBUCH – BETRIEBSWIRTSCHAFTSLEHRE – BACHELOR OF SCIENCE 24 3.2 Ergänzungsbereich Im Ergänzungsbereich muss der /die Geprüfte gemäß § 29 Absatz 1 Nr. 2 Prüfungsordnung 18 LP er- werben.', '# Modulhandbuch-Archiv Hier Sie die Modulhandbücher (MHB) aller WiSo-Studiengänge vergangener Studienjahre ab dem Studienjahr 2021/22. Bitte beachten Sie, dass diese MHB keine Gültigkeit mehr besitzen. ## Inhaltsverzeichnis - Bachelor - Bachelor PO 2021\n- Bachelor PO 2015 - Master - Master PO 2021\n- Master PO 2015 Achten Sie zudem auch auf die entsprechende Prüfungsordnung (PO). Die PO 2021 gilt ab dem Studienjahr 2021/22; die PO 2015 ist für Masterstudiengänge im Studienjahr 2022/23 ausgelaufen und für Bachelorstudiengänge zum Studienjahr 2024/25. Falls Sie ein MHB aus einem anderen Studienjahr benötigen, dann können Sie sich gerne über das Kontaktformular an den WiSo Student Service Point wenden.', 'Birgit Bujard Dr. Andr é Ernst Herausgeber/ Redaktion Studiendekanat der Wirtschafts - und Sozialwissenschaftlichen Fakultät Studienberatung WiSo -Student Service Point (WiSSPo) +49 (0) 221 / 470 - 8818 www.wiso.uni -koeln.de/anfrage Stand Gültig ab 01.10.20 25 --- Page 3 --- Gültig für Studierende der PO 2021 (Einschreibung ab WiSe 2021/22) MODULHANDBUCH - SOZIALWISSENSCHAFTEN - BACHELOR OF SCIENCE iii Legende AM Aufbaumodul P Pflichtveranstaltung AN Anrechnung PB Praktikumsbericht AS Assignment PO Portfolio BM Basismodul PR Projekt EM Ergänzungsmodul RE Referat FS Fallstudie SM Schwerpunktmodul HA Hausarbeit SSt Selbststudium K Kontaktzeit (= Präsenzzeit in LV) SWS Semesterwochenstunde KL Klausur SI Studium Integrale LP Leistungspunkt (engl.: CP) VN Vor- und Nachbereitungszeit LV Lehrveranstaltung WP Wahlpflichtveranstaltung MP Mündliche Prüfung WL Workload = Arbeitsaufwand --- Page 4 --- Gültig für Studierende der PO 2021 (Einschreibung ab WiSe 2021/22) MODULHANDBUCH - SOZIALWISSENSCHAFTEN - BACHELOR OF SCIENCE iv Inhaltsverzeichni s 1 SOZIALWISSENSCHAFTEN ................................ ................................ ......................... 1 1.1 Inhalte und Studienziele ................................ ................................ .......................... 1 1.2 Voraussetzungen ................................ ................................ ................................ ....', 'sind im Campusmanagementsystem (KLIPS) hinterlegt. --- Page 16 --- Gültig für Studierende der PO 2021 (Einschreibung ab WiSe 2021/22) MODULHANDBUCH – BETRIEBSWIRTSCHAFTSLEHRE – BACHELOR OF SCIENCE 16 1.7 Modularität Die Fachgruppen der Bachelorstudiengänge sind in Module gegliedert, wobei die Modulinhalte in den dazugehörenden Modulbeschreibungen dargelegt sind. Das Bachelormodulhandbuch ist auf der Homepage de r WiSo -Fakultät im Downloadbereich einsehbar. Die erfolgreiche Teilnahme an Modulen wird durch die Vergabe von Leistungspunkten auf der Grundlage von erfolgreich absolvierten Prüfungsleistungen nachgewiesen. Die Modulprüfungen werden studienbegleitend abgelegt. Ein Modul setzt sich aus ver schiedenen Teilen zusammen und ist in der Regel in einem oder zwei Semestern abschließbar. Diese Information finden Sie im Feld „Dauer“ der Modulbeschreibung. Ein Modul kann entweder aus einer Vorlesung, einer Übung und ggf. einem Tutorium zum gleichen The ma bestehen. Zudem gibt es Module, die nur eine Veranstaltung, z.B. ein Seminar, umfassen. Außerdem gibt es Module, in denen mehrere verschiedene Veranstaltungen zur Wahl angeboten werden, von denen eine oder auch mehrere absolviert werden müssen. In diese m Fall kann sich die Prüfung auf eine Veranstaltung oder auf die Inhalte mehrerer Veranstaltung en beziehen . Bitte beachten Sie bei der Studienplanung, dass nicht jedes Modul jedes Semester angeboten wird, diese Information finden Sie im Feld „Turnus“ der Modulbeschreibung.']","['file://D:/Uni-Köln/Masterarbeit/Software/uzk-masterarbeit/data/pdf_cache/__wiso.uni-koeln.de_sites_fakultaet_dokumente_downloads_Modulhandbuecher_Studienjahr_22-23_MHB_PO2021_b_mhb_po2021_sowi.pdf', 'file://D:/Uni-Köln/Masterarbeit/Software/uzk-masterarbeit/data/pdf_cache/__wiso.uni-koeln.de_sites_fakultaet_dokumente_downloads_Modulhandbuecher_Studienjahr_22-23_MHB_PO2021_b_mhb_po2021_bwl_01.pdf', 'https://wiso.uni-koeln.de/de/studium/modulhandbuecher-und-pruefungsordnungen/modulhandbuch-archiv', 'file://D:/Uni-Köln/Masterarbeit/Software/uzk-masterarbeit/data/pdf_cache/__wiso.uni-koeln.de_sites_fakultaet_dokumente_downloads_Modulhandbuecher_Bachelor_MHB_aktuelles_Studienjahr_b_mhb_po2021_sowi.pdf', 'file://D:/Uni-Köln/Masterarbeit/Software/uzk-masterarbeit/data/pdf_cache/__wiso.uni-koeln.de_sites_fakultaet_dokumente_downloads_Modulhandbuecher_Bachelor_MHB_aktuelles_Studienjahr_b_mhb_po2021_bwl.pdf']","['pdf', 'pdf', 'html', 'pdf', 'pdf']","1.0","0.0","0.249999999975","0.670932309111737","0.0999999999","0.9106053495114089","0.2276984602212906","0.1288195550441742","0.3267071843147278","0.0","0.0","13.946332216262817","2410","134","2544","15586","5","13.946332216262817"
"39","Services/Info","easy","Wie unterstützt der WiSo-Career-Service Studierende?","Der WiSo-Career-Service unterstützt Studierende der Wirtschafts- und Sozialwissenschaftlichen Fakultät bei der Suche nach einem passenden Praktikum, der Berufswahl und hilft bei der Karriereplanung und dem Bewerbungsprozess. Der Service bietet auch Seminare, Vorträge und zielgerichtete Angebote in Kooperation mit Arbeitgebern, externen und internen Experten an. Darüber hinaus unterstützt er Studierende bei der Planung ihrer beruflichen Laufbahn und bietet individuelle Beratung an.","Der WiSo-Career-Service berät Studierende bei der Suche nach passenden Praktika, bei der Berufswahl und unterstützt sie in Karriereplanung und Bewerbungsprozess.","['Benno Göckede ## WiSo-Career-Service Der WiSo-Career-Service ist die zentrale Schnittstelle an der Wirtschafts- und Sozialwissenschaftlichen Fakultät für Studierende und Arbeitgebende. Für Studierende bieten wir Beratung und Unterstützung bei der Suche nach einem passenden Praktikum und bei der Berufswahl und helfen bei der Karriereplanung und dem Bewerbungsprozess. Zudem organisieren wir Seminare, Vorträge und zielgerichtete Angebote in Kooperation mit Arbeitgebern sowie externen und internen Experten und bieten gemeinsam mit unseren fakultäts- und universitätsinternen Partnern Unterstützung und gezielte Hilfestellung bei der Berufsfindungsphase an. Für Arbeitgebende stellt der WiSo-Career-Service die zentrale Anlaufstelle bei der Kontaktaufnahme mit Studierenden und potenziell neuen Mitarbeitern dar. Wir ermöglichen den zielgruppenspezifischen Zugang zu den Studierenden der Fakultät. Über unsere Praktikumsbörse, die Unternehmenspräsentationen oder gemeinsam organisierte Workshops bieten wir den direkten Austausch mit dem akademischen Nachwuchs. - WiSo-Career-Service ### Julia Monzel, M.A. Leitung WiSo Career & Corporate Services Gebäude 810\nUniversitätsstraße 91\n50931 Köln Telefon: +49 (0) 221 470 7479\nE-Mail: monzel(at)wiso.uni-koeln.de ### Annika Stollenwerk, M.Sc. - In Elternzeit Deputy WiSo Career & Corporate Services - In Elternzeit', 'Für Studierende der WiSo-Fakultät bietet der WiSo-Career-Service Beratung und Unterstützung bei der Suche nach einem passenden Praktikum, der Berufswahl und hilft bei der Karriereplanung und dem Bewerbungsprozess. Zudem organisiert der WiSo- Career - Service Seminare, Vorträge und zielgerichtete Angebote in Kooperation mit Arbeitgeber/innen, externen und internen Expert/innen und bietet gemeinsam mit den fakultäts - und universitätsinternen Partnern bei der Berufsfindungsphase Unterstützung und gezielte Hilfestellung an. Kurse zu Standardsoftware und fachspezifischen Programmen bietet der WiSo-IT-Service regelmäßig an. Bei studienbedingten oder persönlichen Schwierigkeiten kann die Psycho -Soziale Beratung des Kölner Studierendenwerks in Anspruch genommen werden. Sie bietet neben der psychologischen und der Sozialberatung auch eine Schreib- sowie Lernberatung und Unterstützung für Schwangere und Studierende mit Kind. --- Page 19 --- Gültig für Studierende der PO 2021 (Einschreibung ab WiSe 2021/22) INFORMATION SYSTEMS - MASTER OF SCIENCE 15 Als weiteres Angebot gibt es die Nightline Köln , das Zuhör - und Informationstelefon von Studierenden für Studierende. Es ist ein Angebot an alle Studierenden der Kölner Universitäten und Hochschulen. Die Fachschaft WiSo ist die Interessensvertretung aller Studierenden der WiSo-Fakultät. Neben Beratungen von Studierenden für Studierende bietet sie außerdem vielfältige Services rund um das Studium an.', '# WiSo Career Service ## Graphisches Slider Element - Slide: - Slide: Beratungsangebote - Slide: - Slide: - - ## Beratungsangebote Vereinbare einen Termin mit uns - HIGHERED - Wir unterstützen Euch bei der Planung Eurer beruflichen Laufbahn Der WiSo Career Service ist die zentrale Schnittstelle an der Wirtschafts- und Sozialwissenschaftlichen Fakultät für Studierende und Arbeitgebende. Für Studierende bieten wir Beratung und Unterstützung bei der Suche nach einem passenden Praktikum und bei der Berufswahl und helfen bei der Karriereplanung und dem Bewerbungsprozess. Zudem organisieren wir Seminare, Vorträge und zielgerichtete Angebote in Kooperation mit Arbeitgebern sowie externen und internen Experten und bieten gemeinsam mit unseren fakultäts- und universitätsinternen Partnern Unterstützung und gezielte Hilfestellung bei der Berufsfindungsphase\xa0 an. Für Arbeitgebende\xa0stellt der WiSo-Career-Service die zentrale Anlaufstelle bei der Kontaktaufnahme mit Studierenden und potentiell neuen Mitarbeitern dar. Wir ermöglichen den zielgruppenspezifischen Zugang zu den Studierenden der Fakultät. Über unsere Praktikumsbörse, die Unternehmenspräsentationen oder gemeinsam organisierte Workshops und viele weitere informative Networking Events mit Unternehmen bieten wir den direkten Austausch mit dem akademischen Nachwuchs. Unser Angebot erstellen wir in Kooperation mit dem ProfessionalCenter der Universität zu Köln.', 'Für Studierende der WiSo-Fakultät bietet der WiSo-Career-Service Beratung und Unterstützung bei der Suche nach einem passenden Praktikum, der Berufswahl und hilft bei --- Page 17 --- Gültig für Studierende der PO 2021 (Einschreibung ab WiSe 2021/22) WIRTSCHAFTSPÄDAGOGIK / LEHRAMT AN BERUFSKOLLEGS - MASTER OF EDUCATION / MASTER OF SCIENCE 12 der Karriereplanung und dem Bewerbungsprozess. Zudem organisiert der WiSo- Career - Service Seminare, Vorträge und zielgerichtete Angebote in Kooperation mit Arbeitgeber/innen, externen und internen Expert/innen und bietet gemeinsam mit den fakultäts - und universitätsinternen Partnern bei der Berufsfindungsphase Unterstützung und gezielte Hilfestellung an . Kurse zu Standardsoftware und fachspezifischen Programmen bietet der WiSo-IT-Service regelmäßig an. KLIPS 2.0 ist das zentrale Campus Management System der Universität zu Köln. An der WiSo -Fakultät dient KLIPS 2.0 als studentisches Organisationstool. Die Studierenden sollen es als Online-Vorlesungsverzeichnis, zur An- und Abmeldung von Veranstaltungen und Prüfungen, sowie als Übersicht über den kompletten Studiengang und Kalender nutzen. Informationen zu aktuellen Terminen und Fristen der WiSo-Fakultät, sowie Videotutorials und FAQs zu KLIPS finden Sie auf der Homepage des WiSo-KLIPS -Support . Bei weitergehenden Fragen können Sie gerne den WiSo-KLIPS-Support per E -Mail (klips - wiso@uni -koeln.de) kontaktieren. Für Accountfragen wenden Sie sich an den zentralen KLIPS -Support.', 'Somit sind individuelle Anfragen bei Lehrstühlen oder Prüfungsämtern nicht mehr erforderlich. Für Studierende der WiSo-Fakultät bietet der WiSo-Career-Service Beratung und Unterstützung bei der Suche nach einem passenden Praktikum, der Berufswahl und hilft bei der Karriereplanung und dem Bewerbungsprozess. Zudem organisiert der WiSo-Career- Service Seminare, Vorträge und zielgerichtete Angebote in Kooperation mit Arbeitgeber/innen, externen und internen Expert/innen und bietet gemeinsam mit den fakultäts- und universitätsinternen Partnern bei der Berufsfindungsphase Unterstützung und gezielte Hilfestellung an. Kurse zu Standardsoftware und fachspezifischen Programmen bietet der WiSo-IT-Service regelmäßig an. Bei studienbedingten oder persönlichen Schwierigkeiten kann die Psycho-Soziale Beratung des Kölner Studierendenwerks in Anspruch genommen werden. Sie bietet neben der psychologischen und der Sozialberatung auch eine Schreib- sowie Lernberatung und Unterstützung für Schwangere und Studierende mit Kind. Als weiteres Angebot gibt es die Nightline Köln, das Zuhör- und Informationstelefon von Studierenden für Studierende. Es ist ein Angebot an alle Studierenden der Kölner Universitäten und Hochschulen. Die Fachschaft WiSo ist die Interessensvertretung aller Studierenden der WiSo-Fakultät. Neben Beratungen von Studierenden für Studierende bietet sie außerdem vielfältige Services rund um das Studium an. Weitere Informationen finden sich unter wiso-buero.uni-koeln.de .']","['https://wiso.uni-koeln.de/de/fakultaet/dekanat/zentrale-fakultaetsverwaltung', 'file://D:/Uni-Köln/Masterarbeit/Software/uzk-masterarbeit/data/pdf_cache/__wiso.uni-koeln.de_sites_fakultaet_dokumente_downloads_Modulhandbuecher_Studienjahr_22-23_MHB_PO2021_m_mhb_po2021_is.pdf', 'https://wiso.uni-koeln.de/de/praxis/wiso-career-service', 'file://D:/Uni-Köln/Masterarbeit/Software/uzk-masterarbeit/data/pdf_cache/__wiso.uni-koeln.de_sites_fakultaet_dokumente_downloads_Modulhandbuecher_Studienjahr_22-23_MHB_PO2021_m_mhb_po2021_wipaed.pdf', 'file://D:/Uni-Köln/Masterarbeit/Software/uzk-masterarbeit/data/pdf_cache/__wiso.uni-koeln.de_sites_fakultaet_dokumente_downloads_Modulhandbuecher_Studienjahr_22-23_MHB_PO2015_m_mhb_po2015_soc.pdf']","['html', 'pdf', 'html', 'pdf', 'pdf']","1.0","1.0","0.99999999998","0.942484259226833","0.999999995","0.9313785317347826","0.5956400036811829","0.4046300947666168","0.7980891466140747","0.0","0.0","13.364343404769897","2254","165","2419","15905","5","13.364343404769897"
"META","Evaluation Metadaten","2026-01-28 16:46:42","Chatbot: llama3.1:8b (ctx=dynamisch, temp=0.0, seed=42)","RAGAS-LLM: qwen2.5:7b (ctx=14500, temp=0.0, seed=42)","Testset: 2 Fragen","Eval-Zeit: 44.27s","Antwort-Zeit gesamt: 27.31s","","","","","","","","","","","","","","","","","","",""
"AVG","GESAMT","n=2","","","","","","","1.0","0.5","0.6249999999775","0.806708284169285","0.54999999745","0.9209919406230958","0.41166922","0.26672482","0.5623982","0.0","0.0","13.655337810516357","2332.0","149.5","2481.5","15745.5","","13.655337810516357"
"AVG","Modulhandbuch/PO","n=1","","","","","","","1.0","0.0","0.249999999975","0.670932309111737","0.0999999999","0.9106053495114089","0.22769846","0.12881956","0.32670718","0.0","0.0","13.946332216262817","2410.0","134.0","2544.0","15586.0","","13.946332216262817"
"AVG","Services/Info","n=1","","","","","","","1.0","1.0","0.99999999998","0.942484259226833","0.999999995","0.9313785317347826","0.59564","0.4046301","0.79808915","0.0","0.0","13.364343404769897","2254.0","165.0","2419.0","15905.0","","13.364343404769897"
"AVG","Schwierigkeit: EASY","n=1","","","","","","","1.0","1.0","0.99999999998","0.942484259226833","0.999999995","0.9313785317347826","0.59564","0.4046301","0.79808915","0.0","0.0","13.364343404769897","2254.0","165.0","2419.0","15905.0","","13.364343404769897"
"AVG","Schwierigkeit: MEDIUM","n=1","","","","","","","1.0","0.0","0.249999999975","0.670932309111737","0.0999999999","0.9106053495114089","0.22769846","0.12881956","0.32670718","0.0","0.0","13.946332216262817","2410.0","134.0","2544.0","15586.0","","13.946332216262817"
"AVG","Modulhandbuch/PO / MEDIUM","n=1","","","","","","","1.0","0.0","0.249999999975","0.670932309111737","0.0999999999","0.9106053495114089","0.22769846","0.12881956","0.32670718","0.0","0.0","13.946332216262817","2410.0","134.0","2544.0","15586.0","","13.946332216262817"
"AVG","Services/Info / EASY","n=1","","","","","","","1.0","1.0","0.99999999998","0.942484259226833","0.999999995","0.9313785317347826","0.59564","0.4046301","0.79808915","0.0","0.0","13.364343404769897","2254.0","165.0","2419.0","15905.0","","13.364343404769897"
